Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
chaoticSalvageDesc,items,Item,,,,Use it to unpack the components inside.,,,,,,,,,,,,,
chaoticSalvageDrugRecog,items,Item,,,,Recog Salvage,,,,,,,,,,,,,
chaoticSalvageMeleeToolFlashlight02,items,Item,,,,Flashlight Salvage,,,,,,,,,,,,,
chaoticSalvageMeleeToolWireTool,items,Item,,,,Wire Tool Salvage,,,,,,,,,,,,,
chaoticSalvageThrownGrenadeContact,items,Item,,,,Contact Grenade Salvage,,,,,,,,,,,,,
chaoticSalvageToolForgeCrucible,items,Item,,,,Crucible Salvage,,,,,,,,,,,,,
chaoticSalvageToolDewGatherer,items,Item,,,,Dew Collector Salvage,,,,,,,,,,,,,
chaoticSalvageToolDewTarp,items,Item,,,,Dew Collector Tarp Salvage,,,,,,,,,,,,,
chaoticSalvageToolDewFilter,items,Item,,,,Dew Collector Filter Salvage,,,,,,,,,,,,,
chaoticSalvageToolApiaryBroodBox,items,Item,,,,Apiary Brood Box Salvage,,,,,,,,,,,,,
chaoticSalvageToolApiaryExtractor,items,Item,,,,Honey Extractor Salvage,,,,,,,,,,,,,
chaoticSalvageToolApiarySmoker,items,Item,,,,Bee Smoker Salvage,,,,,,,,,,,,,
chaoticSalvageToolChickenCoopLamp,items,Item,,,,Coop Heat Lamp Salvage,,,,,,,,,,,,,
chaoticSalvageToolChickenCoopNestingBox,items,Item,,,,Coop Nesting Box Salvage,,,,,,,,,,,,,
chaoticSalvageToolChickenCoopRun,items,Item,,,,Coop Run Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleTruck4x4Accessories,items,Item,,,,4x4 Truck Accessories Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleTruck4x4Chassis,items,Item,,,,4x4 Truck Chassis Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleTruck4x4Placeable,items,Item,,,,4x4 Truck Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleBicycleChassis,items,Item,,,,Bicycle Frame Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleBicycleHandlebars,items,Item,,,,Bicycle Handlebars Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleBicyclePlaceable,items,Item,,,,Bicycle Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleGyroCopterAccessories,items,Item,,,,Gyrocopter Accessories Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleGyroCopterChassis,items,Item,,,,Gyrocopter Chassis Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleGyrocopterPlaceable,items,Item,,,,Gyrocopter Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleMinibikeChassis,items,Item,,,,Minibike Chassis Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleMinibikeHandlebars,items,Item,,,,Minibike Handlebars Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleMinibikePlaceable,items,Item,,,,Minibike Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleMotorcycleChassis,items,Item,,,,Motorcycle Chassis Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleMotorcycleHandlebars,items,Item,,,,Motorcycle Handlebars Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleMotorcyclePlaceable,items,Item,,,,Motorcycle Salvage,,,,,,,,,,,,,
chaoticSalvageVehicleWheels,items,Item,,,,Wheels Salvage,,,,,,,,,,,,,
